# 검색어, 판매점수 낮은 상품 갯수, 전체 상품 갯수, 점수
아디다스레깅스, 166, 69921, 2.37
나이키레깅스, 224, 40576, 5.52
레깅스, 48, 2396865, 0.02
안다르기모레깅스, 288, 333, 864.86
기모레깅스, 107, 306768, 0.35
여자나이키레깅스, 225, 35080, 6.41
치마레깅스, 196, 252383, 0.78
아디다스기모레깅스, 274, 517, 529.98
여성기모레깅스, 114, 205259, 0.56
여자레깅스, 53, 1500864, 0.04
반바지레깅스, 231, 99822, 2.31
기모치마레깅스, 229, 53913, 4.25
데상트레깅스, 278, 2747, 101.20
뉴발란스레깅스, 291, 9756, 29.83
아디다스레깅스기모, 274, 518, 528.96
밍크레깅스, 229, 97200, 2.36
ce2441, 267, 959, 278.42
나이키기모레깅스, 129, 143, 902.10
융털스키니, 278, 2222, 125.11
니트레깅스, 243, 27571, 8.81
아디다스레깅스ce2441, 269, 880, 305.68
배색레깅스, 260, 45344, 5.73
스파이더레깅스, 310, 2565, 120.86
가죽레깅스, 266, 45877, 5.80
안다르레깅스, 191, 6904, 27.67
융털레깅스, 246, 42842, 5.74
여성반바지레깅스, 233, 68183, 3.42
골지레깅스, 261, 40954, 6.37
아디다스레깅스aj9366, 25, 32, 781.25
나이키레거시레깅스, 276, 1722, 160.28
르꼬끄레깅스, 299, 1851, 161.53
부츠컷레깅스, 241, 5589, 43.12
겨울레깅스, 218, 134566, 1.62
캐시미어레깅스, 287, 3198, 89.74
세컨스킨레깅스, 231, 10443, 22.12
리복레깅스, 268, 12860, 20.84
레깅스팬츠, 175, 634163, 0.28
융레깅스, 253, 36511, 6.93
여성레깅스, 52, 1500781, 0.03
여성기모치마레깅스, 230, 40891, 5.62
